Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII,ZDT6,3,HV,0.0
NSGAII,ZDT6,3,Time,71.91078233718872
NSGAII,ZDT6,4,IGD,1.3805745810250316
NSGAII,ZDT6,4,HV,0.0
NSGAII,ZDT6,4,Time,73.76574182510376
NSGAII,ZDT6,5,IGD,1.4129150731458644
NSGAII,ZDT6,5,HV,0.0
NSGAII,ZDT6,5,Time,75.86232233047485
NSGAII,ZDT6,6,IGD,1.4366475896516808
NSGAII,ZDT6,6,HV,0.0
NSGAII,ZDT6,6,Time,74.77709221839905
NSGAII,ZDT6,7,IGD,1.5589845944373042
NSGAII,ZDT6,7,HV,0.0
NSGAII,ZDT6,7,Time,73.40013647079468
NSGAII,ZDT6,8,IGD,1.4427101750232574
NSGAII,ZDT6,8,HV,0.0
NSGAII,ZDT6,8,Time,73.43021488189697
NSGAII,ZDT6,9,IGD,1.4473119309500502
NSGAII,ZDT6,9,HV,0.0
NSGAII,ZDT6,9,Time,73.90543341636658
NSGAII,ZDT6,10,IGD,1.4105399463441057
NSGAII,ZDT6,10,HV,0.0
NSGAII,ZDT6,10,Time,72.18418025970459
NSGAII,ZDT6,11,IGD,0.8703970504095877
NSGAII,ZDT6,11,HV,0.0
NSGAII,ZDT6,11,Time,68.70060920715332
NSGAII,ZDT6,12,IGD,1.4016708303346168
NSGAII,ZDT6,12,HV,0.0
NSGAII,ZDT6,12,Time,71.02250552177429
NSGAII,ZDT6,13,IGD,1.4400079390235527
NSGAII,ZDT6,13,HV,0.0
NSGAII,ZDT6,13,Time,70.5459337234497
NSGAII,ZDT6,14,IGD,1.4245497022231683
NSGAII,ZDT6,14,HV,0.0
NSGAII,ZDT6,14,Time,70.41180658340454
NSGAII,ZDT6,15,IGD,1.3446335996905974
NSGAII,ZDT6,15,HV,0.0
NSGAII,ZDT6,15,Time,69.87317728996277
NSGAII,ZDT6,16,IGD,1.4789539885372114
NSGAII,ZDT6,16,HV,0.0
NSGAII,ZDT6,16,Time,69.65252447128296
NSGAII,ZDT6,17,IGD,1.3398971869409066
NSGAII,ZDT6,17,HV,0.0
NSGAII,ZDT6,17,Time,70.77036571502686
NSGAII,ZDT6,18,IGD,0.7094978660209492
NSGAII,ZDT6,18,HV,0.0
NSGAII,ZDT6,18,Time,68.80456161499023
NSGAII,ZDT6,19,IGD,0.9654590517619164
NSGAII,ZDT6,19,HV,0.0
NSGAII,ZDT6,19,Time,74.88392519950867
NSGAII,ZDT6,20,IGD,0.8245751618615754
NSGAII,ZDT6,20,HV,0.0
NSGAII,ZDT6,20,Time,70.85313391685486
NSGAII,ZDT6,21,IGD,1.375574712821604
NSGAII,ZDT6,21,HV,0.0
NSGAII,ZDT6,21,Time,70.59846520423889
NSGAII,ZDT6,22,IGD,1.3484485830030761
NSGAII,ZDT6,22,HV,0.0
NSGAII,ZDT6,22,Time,71.35892248153687
NSGAII,ZDT6,23,IGD,0.871879758495968
NSGAII,ZDT6,23,HV,0.0
NSGAII,ZDT6,23,Time,69.24607062339783
NSGAII,ZDT6,24,IGD,1.3446065626851516
NSGAII,ZDT6,24,HV,0.0
NSGAII,ZDT6,24,Time,71.32234287261963
NSGAII,ZDT6,25,IGD,1.3473804746716704
NSGAII,ZDT6,25,HV,0.0
NSGAII,ZDT6,25,Time,70.86152482032776
NSGAII,ZDT6,26,IGD,1.4860589244995939
NSGAII,ZDT6,26,HV,0.0
NSGAII,ZDT6,26,Time,70.21613931655884
NSGAII,ZDT6,27,IGD,0.9120524467740209
NSGAII,ZDT6,27,HV,0.0
NSGAII,ZDT6,27,Time,69.7162709236145
NSGAII,ZDT6,28,IGD,1.3027403132095714
NSGAII,ZDT6,28,HV,0.0
NSGAII,ZDT6,28,Time,71.03846740722656
NSGAII,ZDT6,29,IGD,1.4048050245281964
NSGAII,ZDT6,29,HV,0.0
NSGAII,ZDT6,29,Time,71.7777259349823
MOEAD,Srinivas,0,IGD,0.4724351716023517
MOEAD,Srinivas,0,HV,0.0
MOEAD,Srinivas,0,Time,8.713283777236938
MOEAD,Srinivas,1,IGD,0.46027496050952865
MOEAD,Srinivas,1,HV,0.0
MOEAD,Srinivas,1,Time,8.708355903625488
MOEAD,Srinivas,2,IGD,0.46502277277476073
MOEAD,Srinivas,2,HV,0.0
MOEAD,Srinivas,2,Time,8.963796377182007
MOEAD,Srinivas,3,IGD,0.4693986689945203
MOEAD,Srinivas,3,HV,0.0
MOEAD,Srinivas,3,Time,8.746203899383545
MOEAD,Srinivas,4,IGD,0.4736189204351375
MOEAD,Srinivas,4,HV,0.0
MOEAD,Srinivas,4,Time,9.004947185516357
MOEAD,Srinivas,5,IGD,0.4611435338972803
MOEAD,Srinivas,5,HV,0.0
MOEAD,Srinivas,5,Time,9.716364860534668
MOEAD,Srinivas,6,IGD,0.4945564706564573
MOEAD,Srinivas,6,HV,0.0
MOEAD,Srinivas,6,Time,9.530753374099731
MOEAD,Srinivas,7,IGD,0.4700670105972982
MOEAD,Srinivas,7,HV,0.0
MOEAD,Srinivas,7,Time,9.80211091041565
MOEAD,Srinivas,8,IGD,0.49524914055183344
MOEAD,Srinivas,8,HV,0.0
MOEAD,Srinivas,8,Time,9.143916845321655
MOEAD,Srinivas,9,IGD,0.4776204487484597
MOEAD,Srinivas,9,HV,0.0
MOEAD,Srinivas,9,Time,9.279051303863525
MOEAD,Srinivas,10,IGD,0.47277608396471016
MOEAD,Srinivas,10,HV,0.0
MOEAD,Srinivas,10,Time,9.548480987548828
MOEAD,Srinivas,11,IGD,0.47185958593532495
MOEAD,Srinivas,11,HV,0.0
MOEAD,Srinivas,11,Time,9.738927841186523
MOEAD,Srinivas,12,IGD,0.4849228542498548
MOEAD,Srinivas,12,HV,0.0
MOEAD,Srinivas,12,Time,8.903306484222412
MOEAD,Srinivas,13,IGD,0.48396640950965253
MOEAD,Srinivas,13,HV,0.0
MOEAD,Srinivas,13,Time,8.751548528671265
MOEAD,Srinivas,14,IGD,0.47590238805394874
MOEAD,Srinivas,14,HV,0.0
MOEAD,Srinivas,14,Time,8.916557312011719
MOEAD,Srinivas,15,IGD,0.46700962863003603
MOEAD,Srinivas,15,HV,0.0
MOEAD,Srinivas,15,Time,9.370727300643921
MOEAD,Srinivas,16,IGD,0.47414152198725484
MOEAD,Srinivas,16,HV,0.0
MOEAD,Srinivas,16,Time,8.946876764297485
MOEAD,Srinivas,17,IGD,0.4509145480954575
MOEAD,Srinivas,17,HV,0.0
MOEAD,Srinivas,17,Time,9.556012630462646
MOEAD,Srinivas,18,IGD,0.46520186807363184
MOEAD,Srinivas,18,HV,0.0
MOEAD,Srinivas,18,Time,9.130204677581787
MOEAD,Srinivas,19,IGD,0.4810359478537157
MOEAD,Srinivas,19,HV,0.0
MOEAD,Srinivas,19,Time,8.774803400039673
MOEAD,Srinivas,20,IGD,0.49568755644522633
MOEAD,Srinivas,20,HV,0.0
MOEAD,Srinivas,20,Time,8.863665342330933
MOEAD,Srinivas,21,IGD,0.4719129945646871
MOEAD,Srinivas,21,HV,0.0
MOEAD,Srinivas,21,Time,8.814254999160767
MOEAD,Srinivas,22,IGD,0.48157439329522356
MOEAD,Srinivas,22,HV,0.0
MOEAD,Srinivas,22,Time,10.048638820648193
MOEAD,Srinivas,23,IGD,0.48408206907278944
MOEAD,Srinivas,23,HV,0.0
MOEAD,Srinivas,23,Time,9.189204692840576
MOEAD,Srinivas,24,IGD,0.48465978806370136
MOEAD,Srinivas,24,HV,0.0
MOEAD,Srinivas,24,Time,8.874855518341064
MOEAD,Srinivas,25,IGD,0.4926018446077511
MOEAD,Srinivas,25,HV,0.0
MOEAD,Srinivas,25,Time,8.667925357818604
MOEAD,Srinivas,26,IGD,0.48551122565721744
MOEAD,Srinivas,26,HV,0.0
MOEAD,Srinivas,26,Time,8.942533731460571
MOEAD,Srinivas,27,IGD,0.49546280113745717
MOEAD,Srinivas,27,HV,0.0
MOEAD,Srinivas,27,Time,8.692219018936157
MOEAD,Srinivas,28,IGD,0.4650733474215819
MOEAD,Srinivas,28,HV,0.0
MOEAD,Srinivas,28,Time,8.766029834747314
MOEAD,Srinivas,29,IGD,0.47371200261028523
MOEAD,Srinivas,29,HV,0.0
MOEAD,Srinivas,29,Time,9.038075685501099
MOEAD,ZDT1,0,IGD,0.9954236919522033
MOEAD,ZDT1,0,HV,0.0
MOEAD,ZDT1,0,Time,9.144168376922607
MOEAD,ZDT1,1,IGD,0.9142223587618583
MOEAD,ZDT1,1,HV,0.0
MOEAD,ZDT1,1,Time,10.132188320159912
MOEAD,ZDT1,2,IGD,0.9348346677148345
MOEAD,ZDT1,2,HV,0.0
MOEAD,ZDT1,2,Time,9.231972932815552
MOEAD,ZDT1,3,IGD,1.248545187548262
MOEAD,ZDT1,3,HV,0.0
MOEAD,ZDT1,3,Time,9.781591892242432
MOEAD,ZDT1,4,IGD,1.0559791984031095
MOEAD,ZDT1,4,HV,0.0
MOEAD,ZDT1,4,Time,9.76280951499939
MOEAD,ZDT1,5,IGD,0.9738081281451633
MOEAD,ZDT1,5,HV,0.0
MOEAD,ZDT1,5,Time,9.620893478393555
MOEAD,ZDT1,6,IGD,0.7860785892734345
MOEAD,ZDT1,6,HV,0.0012821934508224265
MOEAD,ZDT1,6,Time,11.422902345657349
MOEAD,ZDT1,7,IGD,0.9387531995638783
MOEAD,ZDT1,7,HV,0.0
MOEAD,ZDT1,7,Time,9.328698873519897
MOEAD,ZDT1,8,IGD,0.3253066301297333
MOEAD,ZDT1,8,HV,0.24641766461221007
MOEAD,ZDT1,8,Time,9.135125160217285
MOEAD,ZDT1,9,IGD,0.8566326334205148
MOEAD,ZDT1,9,HV,3.294473302817984e-05
MOEAD,ZDT1,9,Time,9.53329348564148
MOEAD,ZDT1,10,IGD,0.8724332761159818
MOEAD,ZDT1,10,HV,0.0
MOEAD,ZDT1,10,Time,9.769626140594482
MOEAD,ZDT1,11,IGD,0.7422900410234644
MOEAD,ZDT1,11,HV,0.005420320480590753
MOEAD,ZDT1,11,Time,9.480193853378296
MOEAD,ZDT1,12,IGD,0.9776744584888444
MOEAD,ZDT1,12,HV,0.0
MOEAD,ZDT1,12,Time,9.403422355651855
MOEAD,ZDT1,13,IGD,0.9472454560805219
MOEAD,ZDT1,13,HV,0.0
MOEAD,ZDT1,13,Time,9.981955528259277
MOEAD,ZDT1,14,IGD,1.1839276915181864
MOEAD,ZDT1,14,HV,0.0
MOEAD,ZDT1,14,Time,9.567109107971191
MOEAD,ZDT1,15,IGD,0.8800704240584458
MOEAD,ZDT1,15,HV,0.0
MOEAD,ZDT1,15,Time,9.441534519195557
MOEAD,ZDT1,16,IGD,1.121762906673725
MOEAD,ZDT1,16,HV,0.0
MOEAD,ZDT1,16,Time,9.682694673538208
MOEAD,ZDT1,17,IGD,0.7880711051164565
MOEAD,ZDT1,17,HV,0.003073712074568115
MOEAD,ZDT1,17,Time,9.586268424987793
MOEAD,ZDT1,18,IGD,0.9688416667093164
MOEAD,ZDT1,18,HV,0.0
MOEAD,ZDT1,18,Time,9.443435430526733
MOEAD,ZDT1,19,IGD,1.1183314117150023
MOEAD,ZDT1,19,HV,0.0
MOEAD,ZDT1,19,Time,10.098529577255249
MOEAD,ZDT1,20,IGD,1.0016297011897646
MOEAD,ZDT1,20,HV,0.0
MOEAD,ZDT1,20,Time,9.482651472091675
MOEAD,ZDT1,21,IGD,0.8780091039087358
MOEAD,ZDT1,21,HV,0.0
MOEAD,ZDT1,21,Time,9.39082407951355
MOEAD,ZDT1,22,IGD,1.0140343169147839
MOEAD,ZDT1,22,HV,0.0
MOEAD,ZDT1,22,Time,9.386706352233887
MOEAD,ZDT1,23,IGD,0.9681823411076509
MOEAD,ZDT1,23,HV,0.0
MOEAD,ZDT1,23,Time,9.681024312973022
MOEAD,ZDT1,24,IGD,1.0766622713293739
MOEAD,ZDT1,24,HV,0.0
MOEAD,ZDT1,24,Time,9.089814901351929
MOEAD,ZDT1,25,IGD,0.8226196728571722
MOEAD,ZDT1,25,HV,0.0002457838543431904
MOEAD,ZDT1,25,Time,9.220696926116943
MOEAD,ZDT1,26,IGD,1.075345196174671
MOEAD,ZDT1,26,HV,0.0
MOEAD,ZDT1,26,Time,9.86972951889038
MOEAD,ZDT1,27,IGD,1.1916854574510403
MOEAD,ZDT1,27,HV,0.0
MOEAD,ZDT1,27,Time,9.096445322036743
MOEAD,ZDT1,28,IGD,0.9640289818287479
MOEAD,ZDT1,28,HV,0.0
MOEAD,ZDT1,28,Time,9.332608699798584
MOEAD,ZDT1,29,IGD,1.1430971602278317
MOEAD,ZDT1,29,HV,0.0
MOEAD,ZDT1,29,Time,9.276395559310913
MOEAD,ZDT2,0,IGD,1.9218672523840314
MOEAD,ZDT2,0,HV,0.0
MOEAD,ZDT2,0,Time,8.306852102279663
MOEAD,ZDT2,1,IGD,1.8518243245064236
MOEAD,ZDT2,1,HV,0.0
MOEAD,ZDT2,1,Time,8.551010608673096
MOEAD,ZDT2,2,IGD,1.707362405825374
MOEAD,ZDT2,2,HV,0.0
MOEAD,ZDT2,2,Time,7.952916622161865
MOEAD,ZDT2,3,IGD,1.6499316164544324
MOEAD,ZDT2,3,HV,0.0
MOEAD,ZDT2,3,Time,7.967391729354858
MOEAD,ZDT2,4,IGD,1.1636392019372375
MOEAD,ZDT2,4,HV,0.0
MOEAD,ZDT2,4,Time,8.325250387191772
MOEAD,ZDT2,5,IGD,1.8600379434600778
MOEAD,ZDT2,5,HV,0.0
MOEAD,ZDT2,5,Time,10.463839054107666
